"길","roads"
"거리. 밤이 되면 거리에 사람들이 별로 없어요.","street. Night becomes if, street on people not really."
"골목. 우리 집 앞 골목에서는 언제나 아이들이 놀고 있어요.","alley, backstreet. Our house front alley at always kids playing."
"곳. 저는 조용한 곳에서 살고 싶어요.","place. I quite place at live want to."
"공사. 공사 중에 불편을 드려서 죄송합니다.","Construction. Construction during inconvenience give cuz sorry."
"그늘. 나무 그늘 아래에서 잠깐 쉬었다 가자.","shade. Tree shade under at little while rest let's go."
"다리. 한강에 다리가 몇 개인지 알아요?","bridge. han river at bridge how many are know?"
"지금 가는 데가 어디예요.","place. Now going place where?"
"인도. 차는 차도로, 사람은 인도로 다녀야 해요.","sidewalk. cars road, people sidewalk using go (formal)."
