"예술 / 문학","art / literature"
"뮤지컬. 준이치 씨는 뮤지컬을 좋아해요.","musical. June lee jee musical likes."
"미술. 일주일에 두 번 미술 학원에서 그림을 그립니다.","arts, drawing. Week two times hagwon at drawing draw."
"박수. 공연을 보고 사람들이 모두 일어나서 박수를 쳤어요.","Applause. Performance watch and people always get up and applause strike."
"소설. 한국 역사에 대해 쓴 소설 책을 읽고 싶어요.","a novel. Korean history about written novel book read want to."
"수필. 수필은 어떻게 쓰는게 좋아요?","essay. essay as for, how writing good?"
"시. 제 취미는 시를 쓰는 것입니다.","poem. My hobby poem writing is."
"오페라. 오페라하고 뮤지컬은 어떻게 달라요?","opera. Opera and musical how differ?"
"전시회. 미술 전시회에 가서 그림을 보려고 합니다.","exhibition. Art exhibition go and see intend to"
